Date,Phosphate rock,Asam Sulfat,Sulphur,DAP,Asam Fosfat
7/19/2012,215,63,197,645,885
7/26/2012,215,70.5,197,645,885
8/2/2012,215,68,197,645,885
8/9/2012,215,68,197,645,885
8/16/2012,215,73,197,622,885
8/23/2012,215,73,197,632,885
8/30/2012,215,73,210,632,885
9/6/2012,215,73,210,637,885
9/13/2012,215,73,210,637,885
9/20/2012,215,73,207,630,885
9/27/2012,215,73,207,630,885
10/4/2012,215,73,202,630,885
10/11/2012,215,73,192,630,855
10/18/2012,215,73,192,622,855
10/25/2012,215,45.5,185,612,855
11/1/2012,215,45.5,181,602,855
11/8/2012,215,45.5,180,602,855
11/15/2012,215,45.5,175,602,855
11/22/2012,215,45.5,175,602,855
11/29/2012,215,45.5,170,582,855
12/6/2012,215,38,170,575,855
12/13/2012,215,38,168,567,855
12/20/2012,215,38,168,567,855
12/27/2012,215,38,168,567,855
1/3/2013,215,38,167,567,855
1/10/2013,215,38,167,557,770
1/17/2013,215,38,167,557,770
1/24/2013,200,30.5,167,557,770
1/31/2013,200,30.5,168,557,770
2/7/2013,200,30.5,169,555,770
2/14/2013,200,30.5,169,552,770
2/21/2013,200,30.5,172,552,770
2/28/2013,200,30.5,174,552,770
3/7/2013,200,30.5,174,567,770
3/14/2013,200,30.5,174,572,770
3/21/2013,200,30.5,167,572,770
3/28/2013,200,30.5,173,577,770
4/4/2013,200,30.5,173,577,770
4/11/2013,200,30.5,173,577,770
4/18/2013,200,30.5,173,577,770
4/25/2013,195,30.5,173,577,770
5/2/2013,195,38,172,577,750
5/9/2013,195,38,165,562,750
5/16/2013,195,38,164,562,750
5/23/2013,195,38,161,562,750
5/30/2013,195,30.5,151,562,750
6/6/2013,195,30.5,151,562,750
6/13/2013,195,30.5,151,562,750
6/20/2013,195,30.5,120,557,750
6/27/2013,195,30.5,115,557,750
7/4/2013,195,30.5,97,557,750
7/11/2013,195,30.5,97,550,715
7/18/2013,195,30.5,80,542,715
7/25/2013,175,30.5,84,540,715
8/1/2013,175,30.5,82,525,715
8/8/2013,175,30.5,82,510,715
8/15/2013,175,30.5,82,510,715
8/22/2013,175,30.5,92,510,715
8/29/2013,158,30.5,92,510,715
9/5/2013,158,30.5,92,505,715
9/12/2013,158,30.5,90,482,715
9/19/2013,158,30.5,89,472,715
9/26/2013,158,30.5,89,467,715
10/3/2013,158,30.5,88,467,609
10/10/2013,158,30.5,85,467,609
10/17/2013,146,30.5,85,460,609
10/24/2013,146,30.5,89,460,609
10/31/2013,146,30.5,96,452,609
11/7/2013,146,30.5,96,442,609
11/14/2013,146,30.5,96,442,609
11/21/2013,131,30.5,125,442,609
11/28/2013,131,30.5,132,442,609
12/5/2013,131,30.5,137,442,609
12/12/2013,131,30.5,140,447,609
12/19/2013,131,30.5,142,447,609
12/26/2013,131,30.5,142,447,609
1/2/2014,131,30.5,150,447,609
1/9/2014,131,30.5,150,475,609
1/16/2014,133,30.5,177,475,609
1/23/2014,133,30.5,177,512,609
1/30/2014,133,30.5,177,542,609
2/6/2014,133,30.5,192,542,609
2/13/2014,133,35.5,210,542,680
2/20/2014,133,35.5,215,577,680
2/27/2014,133,35.5,215,577,680
3/6/2014,138,35.5,215,577,680
3/13/2014,138,35.5,212,577,680
3/20/2014,138,35.5,200,577,680
3/27/2014,138,35.5,195,577,680
4/3/2014,138,35.5,175,577,680
4/10/2014,138,35.5,175,577,680
4/17/2014,138,35.5,147,510,680
4/24/2014,138,35.5,149,510,715
5/1/2014,148,35.5,149,510,715
5/8/2014,143,35.5,149,510,715
5/15/2014,143,35.5,149,510,715
5/22/2014,143,35.5,165,480,715
5/29/2014,140,35.5,170,525,715
6/5/2014,140,35.5,170,527,715
6/12/2014,140,35.5,172,537,715
6/19/2014,140,35.5,181,542,715
6/26/2014,140,35.5,181,550,715
7/3/2014,140,35.5,183,560,715
7/10/2014,140,35.5,183,567,715
7/17/2014,140,35.5,187,575,715
7/24/2014,140,35.5,190,575,715
7/31/2014,140,35.5,190,575,715
8/7/2014,140,35.5,190,575,715
8/14/2014,140,35.5,187,575,765
8/21/2014,140,35.5,187,575,765
8/28/2014,140,35.5,180,575,765
9/4/2014,145,38,177,575,765
9/11/2014,145,38,177,575,765
9/18/2014,145,40.5,175,575,765
9/25/2014,145,40.5,175,570,765
10/2/2014,145,40.5,169,570,765
10/9/2014,145,40.5,169,565,765
10/16/2014,145,40.5,169,565,765
10/23/2014,145,40.5,169,562,765
10/30/2014,145,40.5,147,562,765
11/6/2014,145,43,149,562,765
11/13/2014,145,43,149,557,765
11/20/2014,145,43,154,557,765
11/27/2014,145,43,154,557,765
12/4/2014,145,43,160,557,765
12/11/2014,145,43,170,557,765
12/18/2014,145,38,181,557,765
12/25/2014,145,38,181,566,765
1/1/2015,145,38,181,566,765
1/8/2015,145,38,194,566,765
1/15/2015,145,38,194,566,765
1/22/2015,145,38,195,570,765
1/29/2015,145,40.5,195,570,765
2/5/2015,145,43,200,566,765
2/12/2015,145,43,200,558,765
2/19/2015,145,44,200,558,765
2/26/2015,145,46.5,194,558,765
3/5/2015,145,46.5,192,558,765
3/12/2015,145,46.5,192,558,765
3/19/2015,145,46.5,190,551,765
3/26/2015,145,46.5,187,551,805
4/2/2015,145,47.5,175,551,805
4/9/2015,145,47.5,175,551,805
4/16/2015,145,47.5,175,551,805
4/23/2015,145,47.5,167,551,805
4/30/2015,145,47.5,165,547,805
5/7/2015,145,47.5,162,547,805
5/14/2015,145,47.5,162,551,805
5/21/2015,145,47.5,162,551,805
5/28/2015,145,49,165,551,805
6/4/2015,145,53,165,553,805
6/11/2015,145,53,165,553,805
6/18/2015,145,53,165,553,805
6/25/2015,145,53,165,553,810
7/2/2015,145,53,167,553,810
7/9/2015,145,53,170,551,810
7/16/2015,145,48,175,551,810
7/23/2015,145,43,175,548,810
7/30/2015,145,43,175,548,810
8/6/2015,145,43,175,543,810
8/13/2015,145,43,175,543,810
8/20/2015,145,43,175,543,810
8/27/2015,145,43,175,541,810
9/3/2015,145,43,164,541,810
9/10/2015,153,46.5,164,541,810
9/17/2015,153,46.5,152,541,810
9/24/2015,153,46.5,142,541,810
10/1/2015,153,46.5,135,547,810
10/8/2015,153,46.5,132,545,810
10/15/2015,153,46.5,131,545,810
10/22/2015,153,38,136,537,810
10/29/2015,153,38,145,535,810
11/5/2015,153,38,145,532,810
11/12/2015,153,38,145,520,810
11/19/2015,153,38,152,517,810
11/26/2015,153,33,152,515,810
12/3/2015,153,33,154,502,810
12/10/2015,153,33,154,502,810
12/17/2015,153,33,154,502,810
12/24/2015,153,33,154,502,810
12/31/2015,153,33,154,502,810
1/7/2016,153,33,146,502,715
1/14/2016,153,33,141,502,715
1/21/2016,143,33,141,497,715
1/28/2016,145,33,135,497,715
2/4/2016,145,33,124,477,715
2/11/2016,145,33,119,462,715
2/18/2016,145,28,119,427,715
2/25/2016,145,28,110,422,715
3/3/2016,145,28,110,437,715
3/10/2016,145,25.5,110,432,715
3/17/2016,145,23,105,427,715
3/24/2016,145,23,105,425,715
3/31/2016,145,23,105,420,715
4/7/2016,145,23,105,420,605
4/14/2016,145,23,105,417,605
4/21/2016,145,23,105,416,605
4/28/2016,145,23,105,412,605
5/5/2016,145,23,105,410,605
5/12/2016,145,23,105,407,605
5/19/2016,145,23,105,406,605
5/26/2016,145,23,105,405,605
6/2/2016,145,23,105,400,605
6/9/2016,145,23,105,400,605
6/16/2016,145,23,105,400,605
6/23/2016,145,23,102,400,605
6/30/2016,145,23,102,400,605
7/7/2016,145,25.5,98,400,605
7/14/2016,145,25.5,98,397,605
7/21/2016,145,25.5,98,395,605
7/28/2016,145,25.5,92,395,605
8/4/2016,145,28,89,395,605
8/11/2016,140,28,89,397,605
8/18/2016,140,28,92,399,605
8/25/2016,140,28,95,399,605
9/1/2016,140,28,95,398,605
9/8/2016,140,29,100,398,608
9/15/2016,140,29,100,398,608
9/22/2016,140,30,100,398,608
9/29/2016,140,30,100,398,608
10/6/2016,140,30,100,398,580
10/13/2016,140,30,100,397,580
10/20/2016,140,30,100,396,580
10/27/2016,140,28,102,396,580
11/3/2016,140,28,102,395,580
11/10/2016,133,28,105,395,580
11/17/2016,133,28,110,390,580
11/24/2016,133,28,110,387,580
12/1/2016,133,28,113,387,580
12/8/2016,133,28,113,387,580
12/15/2016,133,25.5,113,387,580
12/22/2016,133,25.5,113,392,580
12/29/2016,133,25.5,113,392,580
1/5/2017,133,25.5,112,392,548
1/12/2017,128,25.5,112,392,548
1/19/2017,128,25.5,111,392,548
1/26/2017,128,25.5,111,397,548
2/2/2017,128,25.5,110,401,548
2/9/2017,128,25.5,110,412,548
2/16/2017,128,25.5,110,420,548
2/23/2017,128,25.5,110,429,548
3/2/2017,128,25.5,111,429,548
3/9/2017,128,25.5,111,435,548
3/16/2017,128,27,111,436,548
3/23/2017,128,27,110,436,548
3/30/2017,128,33,104,436,548
4/6/2017,128,33,104,436,580
4/13/2017,128,35.5,104,432,580
4/20/2017,128,35.5,101,432,580
4/27/2017,123,35.5,101,432,580
5/4/2017,123,35.5,99,430,580
5/11/2017,123,40.5,97,429,580
5/18/2017,123,40.5,97,426,580
5/25/2017,123,40.5,97,423,581
6/1/2017,123,40.5,98,421,581
6/8/2017,123,40.5,101,420,581
