Date,Phosphate rock,Asam Sulfat,Sulphur,DAP,Crude Oil,Asam Fosfat
7/19/2012,215,63,197,593,90,885
7/26/2012,215,71,197,593,89,885
8/2/2012,215,68,197,593,89,885
8/9/2012,215,68,197,593,93,885
8/16/2012,215,73,197,570,94,885
8/23/2012,215,73,197,580,96,885
8/30/2012,215,73,210,580,96,885
9/6/2012,215,73,210,585,96,885
9/13/2012,215,73,210,585,98,885
9/20/2012,215,73,207,578,94,885
9/27/2012,215,73,207,578,91,885
10/4/2012,215,73,202,578,91,885
10/11/2012,215,73,192,578,91,855
10/18/2012,215,73,192,570,92,855
10/25/2012,215,46,185,560,86,855
11/1/2012,215,46,181,550,86,855
11/8/2012,215,46,180,550,86,855
11/15/2012,215,46,175,550,86,855
11/22/2012,215,46,175,550,87,855
11/29/2012,215,46,170,530,87,855
12/6/2012,215,38,170,523,87,855
12/13/2012,215,38,168,515,86,855
12/20/2012,215,38,168,515,88,855
12/27/2012,215,38,168,515,90,855
1/3/2013,215,38,167,515,93,855
1/10/2013,215,38,167,505,93,770
1/17/2013,215,38,167,505,95,770
1/24/2013,200,31,167,505,95,770
1/31/2013,200,31,168,505,97,770
2/7/2013,200,31,169,503,96,770
2/14/2013,200,31,169,500,97,770
2/21/2013,200,31,172,500,94,770
2/28/2013,200,31,174,500,92,770
3/7/2013,200,31,174,515,91,770
3/14/2013,200,31,174,520,93,770
3/21/2013,200,31,167,520,93,770
3/28/2013,200,31,173,525,96,770
4/4/2013,200,31,173,525,95,770
4/11/2013,200,31,173,525,93,770
4/18/2013,200,31,173,525,88,770
4/25/2013,195,31,173,525,91,770
5/2/2013,195,38,172,525,93,750
5/9/2013,195,38,165,510,96,750
5/16/2013,195,38,164,510,95,750
5/23/2013,195,38,161,510,95,750
5/30/2013,195,31,151,510,93,750
6/6/2013,195,31,151,510,94,750
6/13/2013,195,31,151,510,96,750
6/20/2013,195,31,120,505,97,750
6/27/2013,195,31,115,505,96,750
7/4/2013,195,31,97,505,101,750
7/11/2013,195,31,97,498,105,715
7/18/2013,195,31,80,490,107,715
7/25/2013,175,31,84,488,106,715
8/1/2013,175,31,82,473,106,715
8/8/2013,175,31,82,458,105,715
8/15/2013,175,31,82,458,107,715
8/22/2013,175,31,92,458,105,715
8/29/2013,158,31,92,458,108,715
9/5/2013,158,31,92,453,109,715
9/12/2013,158,31,90,430,108,715
9/19/2013,158,31,89,420,106,715
9/26/2013,158,31,89,415,103,715
10/3/2013,158,31,88,415,103,609
10/10/2013,158,31,85,415,103,609
10/17/2013,146,31,85,408,102,609
10/24/2013,146,31,89,408,98,609
10/31/2013,146,31,96,400,97,609
11/7/2013,146,31,96,390,94,609
11/14/2013,146,31,96,390,94,609
11/21/2013,131,31,125,390,94,609
11/28/2013,131,31,132,390,93,609
12/5/2013,131,31,137,390,96,609
12/12/2013,131,31,140,395,97,609
12/19/2013,131,31,142,395,98,609
12/26/2013,131,31,142,395,99,609
1/2/2014,131,31,150,395,96,609
1/9/2014,131,31,150,423,92,609
1/16/2014,133,31,177,423,93,609
1/23/2014,133,31,177,460,96,609
1/30/2014,133,31,177,490,97,609
2/6/2014,133,31,192,490,98,609
2/13/2014,133,36,210,490,100,680
2/20/2014,133,36,215,525,103,680
2/27/2014,133,36,215,525,103,680
3/6/2014,138,36,215,525,103,680
3/13/2014,138,36,212,525,100,680
3/20/2014,138,36,200,525,100,680
3/27/2014,138,36,195,525,101,680
4/3/2014,138,36,175,525,100,680
4/10/2014,138,36,175,525,103,680
4/17/2014,138,36,147,458,104,680
4/24/2014,138,36,149,458,102,715
5/1/2014,148,36,149,458,101,715
5/8/2014,143,36,149,458,100,715
5/15/2014,143,36,149,458,102,715
5/22/2014,143,36,165,428,104,715
5/29/2014,140,36,170,473,104,715
6/5/2014,140,36,170,475,103,715
6/12/2014,140,36,172,485,106,715
6/19/2014,140,36,181,490,107,715
6/26/2014,140,36,181,498,107,715
7/3/2014,140,36,183,508,106,715
7/10/2014,140,36,183,515,103,715
7/17/2014,140,36,187,523,102,715
7/24/2014,140,36,190,523,104,715
7/31/2014,140,36,190,523,102,715
8/7/2014,140,36,190,523,98,715
8/14/2014,140,36,187,523,97,765
8/21/2014,140,36,187,523,95,765
8/28/2014,140,36,180,523,96,765
9/4/2014,145,38,177,523,94,765
9/11/2014,145,38,177,523,92,765
9/18/2014,145,41,175,523,94,765
9/25/2014,145,41,175,518,93,765
10/2/2014,145,41,169,518,91,765
10/9/2014,145,41,169,513,88,765
10/16/2014,145,41,169,513,83,765
10/23/2014,145,41,169,510,82,765
10/30/2014,145,41,147,510,81,765
11/6/2014,145,43,149,510,78,765
11/13/2014,145,43,149,505,77,765
11/20/2014,145,43,154,505,75,765
11/27/2014,145,43,154,505,72,765
12/4/2014,145,43,160,505,67,765
12/11/2014,145,43,170,505,61,765
12/18/2014,145,38,181,505,56,765
12/25/2014,145,38,181,514,56,765
1/1/2015,145,38,181,514,53,765
1/8/2015,145,38,194,514,49,765
1/15/2015,145,38,194,514,47,765
1/22/2015,145,38,195,518,46,765
1/29/2015,145,41,195,518,45,765
2/5/2015,145,43,200,514,51,765
2/12/2015,145,43,200,506,51,765
2/19/2015,145,44,200,506,52,765
2/26/2015,145,47,194,506,49,765
3/5/2015,145,47,192,506,50,765
3/12/2015,145,47,192,506,48,765
3/19/2015,145,47,190,499,44,765
3/26/2015,145,47,187,499,49,805
4/2/2015,145,48,175,499,49,805
4/9/2015,145,48,175,499,52,805
4/16/2015,145,48,175,499,55,805
4/23/2015,145,48,167,499,56,805
4/30/2015,145,48,165,495,58,805
5/7/2015,145,48,162,495,60,805
5/14/2015,145,48,162,499,60,805
5/21/2015,145,48,162,499,59,805
5/28/2015,145,49,165,499,58,805
6/4/2015,145,53,165,501,60,805
6/11/2015,145,53,165,501,60,805
6/18/2015,145,53,165,501,60,805
6/25/2015,145,53,165,501,60,810
7/2/2015,145,53,167,501,58,810
7/9/2015,145,53,170,499,52,810
7/16/2015,145,48,175,499,52,810
7/23/2015,145,43,175,496,49,810
7/30/2015,145,43,175,496,48,810
8/6/2015,145,43,175,491,45,810
8/13/2015,145,43,175,491,43,810
8/20/2015,145,43,175,491,41,810
8/27/2015,145,43,175,489,41,810
9/3/2015,145,43,164,489,47,810
9/10/2015,153,47,164,489,45,810
9/17/2015,153,47,152,489,45,810
9/24/2015,153,47,142,489,46,810
10/1/2015,153,47,135,495,45,810
10/8/2015,153,47,132,493,48,810
10/15/2015,153,47,131,493,47,810
10/22/2015,153,38,136,485,45,810
10/29/2015,153,38,145,483,45,810
11/5/2015,153,38,145,480,46,810
11/12/2015,153,38,145,468,43,810
11/19/2015,153,38,152,465,41,810
11/26/2015,153,33,152,463,40,810
12/3/2015,153,33,154,450,40,810
12/10/2015,153,33,154,450,37,810
12/17/2015,153,33,154,450,36,810
12/24/2015,153,33,154,450,36,810
12/31/2015,153,33,154,450,37,810
1/7/2016,153,33,146,450,35,715
1/14/2016,153,33,141,450,31,715
1/21/2016,143,33,141,445,29,715
1/28/2016,145,33,135,445,32,715
2/4/2016,145,33,124,425,31,715
